Number of Classes,Line Coverage,Mutation Coverage
111,89% 4817/5425,80% 2804/3508
Name,Number of Classes,Line Coverage,Mutation Coverage
org.apache.commons.io,19,91% 2038/2235,85% 1472/1736
org.apache.commons.io.comparator,10,99% 132/133,96% 55/57
org.apache.commons.io.filefilter,24,97% 541/556,85% 233/273
org.apache.commons.io.input,30,85% 1157/1361,77% 656/855
org.apache.commons.io.input.buffer,3,43% 59/137,36% 45/125
org.apache.commons.io.monitor,3,87% 195/223,79% 89/112
org.apache.commons.io.output,18,88% 639/724,71% 235/331
org.apache.commons.io.serialization,4,100% 56/56,100% 19/19
